#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
      92        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.801     18.609
     263        1.000000     -0.003      0.000      0.000      0.000      0.000    -22.126     20.977
      40        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.303     20.675
     146        1.000000     -0.014      0.000      0.000      0.000      0.000    -21.397     18.722
     211        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.592     20.342
     264        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      41        1.000000      0.004      0.000      0.000      0.000      0.000    -19.131     23.414
      93        1.000000     -0.006      0.000      0.000      0.000      0.000    -23.816     22.329
     147        1.000000     -0.009      0.000      0.000      0.000      0.000    -26.242     22.932
     212        1.000000     -0.001      0.000      0.000      0.000      0.000    -24.587     18.904
     265        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      94        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.774     21.799
      42        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.883     20.494
     148        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.338     19.774
     213        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.700     20.383
     266        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      43        1.000000      0.005      0.000      0.000      0.000      0.000    -28.492     20.863
      95        1.000000     -0.005      0.000      0.000      0.000      0.000    -22.389     19.663
     149        1.000000     -0.016      0.000      0.000      0.000      0.000    -23.467     26.686
     214        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.118     18.991
     267        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      44        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.185     24.804
      96        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.796     22.903
     150        1.000000     -0.004      0.000      0.000      0.000      0.000    -22.435     21.420
